id_,date,week,business_distinct_code,business_area_code,business_area_name,store_name,address,lng,lat,type
ChIJt0BDX_yefDUR_faHUc4ys8E,2019-12-5,1,R,1001430,영등포전통시장,베스띠벨리롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,point_of_interest
ChIJt0BDX_yefDUR_faHUc4ys8E,2019-12-5,1,R,1001430,영등포전통시장,베스띠벨리롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,store
ChIJt0BDX_yefDUR_faHUc4ys8E,2019-12-5,1,R,1001430,영등포전통시장,베스띠벨리롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,establishment
ChIJxV0U9vyefDURMw1ZJpIyIvI,2019-12-5,1,R,1001430,영등포전통시장,Lotte Department Store Yeongdeungpo,Yeongdeungpo-gu,126.9074783,37.5159466,department_store
ChIJxV0U9vyefDURMw1ZJpIyIvI,2019-12-5,1,R,1001430,영등포전통시장,Lotte Department Store Yeongdeungpo,Yeongdeungpo-gu,126.9074783,37.5159466,point_of_interest
ChIJxV0U9vyefDURMw1ZJpIyIvI,2019-12-5,1,R,1001430,영등포전통시장,Lotte Department Store Yeongdeungpo,Yeongdeungpo-gu,126.9074783,37.5159466,store
ChIJxV0U9vyefDURMw1ZJpIyIvI,2019-12-5,1,R,1001430,영등포전통시장,Lotte Department Store Yeongdeungpo,Yeongdeungpo-gu,126.9074783,37.5159466,establishment
ChIJ_VOCWfuefDURW2W-IFFMTiA,2019-12-5,1,R,1001430,영등포전통시장,다이소 영등포본점,"21 Yeongjung-ro, Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054446,37.51828629999999,home_goods_store
ChIJ_VOCWfuefDURW2W-IFFMTiA,2019-12-5,1,R,1001430,영등포전통시장,다이소 영등포본점,"21 Yeongjung-ro, Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054446,37.51828629999999,point_of_interest
ChIJ_VOCWfuefDURW2W-IFFMTiA,2019-12-5,1,R,1001430,영등포전통시장,다이소 영등포본점,"21 Yeongjung-ro, Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054446,37.51828629999999,store
ChIJ_VOCWfuefDURW2W-IFFMTiA,2019-12-5,1,R,1001430,영등포전통시장,다이소 영등포본점,"21 Yeongjung-ro, Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054446,37.51828629999999,establishment
ChIJt0BDX_yefDUROLDq9xKDdEs,2019-12-5,1,R,1001430,영등포전통시장,블랙앤화이트롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,clothing_store
ChIJt0BDX_yefDUROLDq9xKDdEs,2019-12-5,1,R,1001430,영등포전통시장,블랙앤화이트롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,point_of_interest
ChIJt0BDX_yefDUROLDq9xKDdEs,2019-12-5,1,R,1001430,영등포전통시장,블랙앤화이트롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,store
ChIJt0BDX_yefDUROLDq9xKDdEs,2019-12-5,1,R,1001430,영등포전통시장,블랙앤화이트롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,establishment
ChIJRS47b_yefDUREjqJVI-QNOk,2019-12-5,1,R,1001430,영등포전통시장,이즈나나 롯데백화점 영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,clothing_store
ChIJRS47b_yefDUREjqJVI-QNOk,2019-12-5,1,R,1001430,영등포전통시장,이즈나나 롯데백화점 영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,point_of_interest
ChIJRS47b_yefDUREjqJVI-QNOk,2019-12-5,1,R,1001430,영등포전통시장,이즈나나 롯데백화점 영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,store
ChIJRS47b_yefDUREjqJVI-QNOk,2019-12-5,1,R,1001430,영등포전통시장,이즈나나 롯데백화점 영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,establishment
ChIJqV1GXvyefDURzGhrTIrMcsA,2019-12-5,1,R,1001430,영등포전통시장,인디안롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,clothing_store
ChIJqV1GXvyefDURzGhrTIrMcsA,2019-12-5,1,R,1001430,영등포전통시장,인디안롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,point_of_interest
