id_,date,week,hour,store_name,current_popular,business_distinct_code,business_area_code
ChIJky1utmmkfDURnOBn3K9G-rA,2019-12-5,1,23:00:00,SPLENDINO,0,D,1001141
ChIJreJhZYijfDURzYxyKUwGTJQ,2019-12-5,1,23:00:00,Carhartt WIP Store Seoul Apgujeong,0,D,1001141
ChIJ6RTvJIajfDURrn8FH_PXNgA,2019-12-5,1,23:00:00,강남타투 잉커드에스 inkeds tattoo,0,D,1001141
ChIJ-yiwZ-ijfDUR9ip-SA2XrjI,2019-12-5,1,23:00:00,Seoul Ink Tattoo Studio,0,D,1001141
ChIJF2lluIejfDURVdkKFutRd_0,2019-12-5,1,23:00:00,adidas Originals Seoul Flagship Store (apgujeong),0,D,1001141
ChIJ1cObioejfDUR39hN4b5mw28,2019-12-5,1,23:00:00,lululemon,0,D,1001141
ChIJJcn0voijfDURGpMHrLRZDV0,2019-12-5,1,23:00:00,STUSSY,0,D,1001141
ChIJfXAjm4ejfDURO9ZHyfTF3S0,2019-12-5,1,23:00:00,Daily Beer (Apgujeong),0,D,1001141
ChIJHd_53IejfDURSrLbv9imJ0w,2019-12-5,1,23:00:00,웍스아웃 압구정 (WORKSOUT APGUJEONG),0,D,1001141
ChIJT4ZSZXikfDURMa74CahMtrE,2019-12-5,1,23:00:00,Capezio,0,D,1001141
ChIJXSCIOoajfDURWoj4azH8PHo,2019-12-5,1,23:00:00,Bonne Nouvelle,0,D,1001141
ChIJEWGVt-6efDUR7-0S6-92X-8,2019-12-5,1,23:00:00,No Brand,0,D,1001142
ChIJl_gQmhmifDUR5m3VgPeE6wI,2019-12-5,1,23:00:00,영재컴퓨터,0,D,1001143
ChIJkYxie8GjfDURXUvkx8bQAUI,2019-12-5,1,23:00:00,Wilokkoch,9,D,1001143
ChIJ-bOUslSjfDURz7ohCpYJ3VY,2019-12-5,1,23:00:00,Trattoria Villa de LA VINO (빌라 드 라비노),0,D,1001146
ChIJRcgKHhqjfDURHWLvVVcbdmQ,2019-12-5,1,23:00:00,히말라야아이즈,0,D,1001146
ChIJEdQ5cjaifDURNWyngSPZToU,2019-12-5,1,23:00:00,Adell,0,D,1001146
ChIJVXakCEqifDURPTMVvLBDWH4,2019-12-5,1,23:00:00,Sunny ink studio - tattoo shop,0,D,1001146
ChIJ6fRLETaifDURUq4WCgQ4_IY,2019-12-5,1,23:00:00,Gug-Ilsa,0,D,1001146
ChIJB7VVIzaifDURQ_y3TfOKFdw,2019-12-5,1,23:00:00,심플이태원,0,D,1001146
ChIJbQMNFzaifDURimOfW59uj3k,2019-12-5,1,23:00:00,Bishop,0,D,1001146
ChIJz4aszbCjfDURMBTLMXNaJIs,2019-12-5,1,23:00:00,Paris Baguette - Hannam,0,D,1001149
ChIJb97eQCqjfDURA_ZHxAzxHCw,2019-12-5,1,23:00:00,Daiso Hyehwa,0,D,1001241
ChIJJTxmOyqjfDUR2kfTyv8yr0I,2019-12-5,1,23:00:00,알라딘 중고서점 대학로점,0,D,1001242
ChIJzYVakSujfDURZcV4WfInlIE,2019-12-5,1,23:00:00,Coffine Gurunaru Daehak-ro,0,D,1001242
ChIJEa5Gi0C7fDURY5dyBbDU6Po,2019-12-5,1,23:00:00,Happiness Dessert 해피니스 디저트 妖开心甜品,0,D,1001244
ChIJSQ_pROGifDURLE8soyL4ZIM,2019-12-5,1,23:00:00,Paris Baguette Café,0,D,1001204
ChIJLRiE_eOifDUR2xVRGH8DrA0,2019-12-5,1,23:00:00,마하테크,0,D,1001204
ChIJd3vXfP-vfDUR9DoLsYQL658,2019-12-5,1,23:00:00,훼미리마트 천호역점,0,D,1001157
ChIJaUNnZEqifDURDHPzYZnM1fE,2019-12-5,1,23:00:00,Taco Amigo,0,D,1001150
ChIJxcB9QkqifDURIzHQPQlxnX4,2019-12-5,1,23:00:00,Baskin Robbins,0,D,1001150
ChIJu2Z3JEqifDURp1fcG9iChRY,2019-12-5,1,23:00:00,The Soul by Jess,0,D,1001150
ChIJn-8jV0qifDURbUHEp_toTWA,2019-12-5,1,23:00:00,프란시스,0,D,1001150
ChIJ9xEt5kqifDURgrJNFjgfOI8,2019-12-5,1,23:00:00,제이제이스 맨하탄,0,D,1001150
ChIJTRQG-m6jfDURxVdsfmN5jWU,2019-12-5,1,23:00:00,FLOW hookah lounge,0,D,1001150
ChIJeRTqLR6jfDURzvokQe_3TjI,2019-12-5,1,23:00:00,LINE FRIENDS Cafe and Store,0,D,1001150
ChIJP7fxXkqifDUR9M8il-HSrgk,2019-12-5,1,23:00:00,Twosome Place,0,D,1001150
ChIJ-W6udMOefDUR_VyJbcX_Svw,2019-12-5,1,23:00:00,아덴바이크,0,D,1001153
ChIJY9usQwWifDUR4xtHwAeZbVo,2019-12-5,1,23:00:00,Compuzone,0,D,1001155
ChIJS7K4CP-vfDURAxoqoW6aYS4,2019-12-5,1,23:00:00,LG전자서비스센터 강동점,0,D,1001156
ChIJI7R2AY2jfDURne7hkW687FM,2019-12-5,1,23:00:00,렉서스 도산대로 전시장,0,D,1001120
ChIJD2nJEY2jfDURk1ykEj1qJ2I,2019-12-5,1,23:00:00,쎄덱(SEDEC),0,D,1001120
