id_,date,week,business_distinct_code,business_area_code,rating,rating_n,timespent_min,timespent_max
ChIJsXjnvZaifDURyj1TUKkoJhU,2019-12-5,1,D,1001223,4.2,124,0,0
ChIJR3Q8oJSifDUR-3GLBi3Gx_c,2019-12-5,1,D,1001223,3.9,62,0,0
ChIJ2WtXypCifDUR7CcvxO5pJn8,2019-12-5,1,D,1001223,3.8,256,15,45
ChIJA3_W7JVrMhURUlozmc4p7yA,2019-12-5,1,D,1001223,4.4,479,0,0
ChIJcZLacZSifDURVzI2cG2iO78,2019-12-5,1,D,1001223,4.5,64,0,0
ChIJm4l07ZOifDURsuQvan8FtUM,2019-12-5,1,D,1001223,4.2,29,0,0
ChIJreyKjJSifDURlM1YJez0Z1g,2019-12-5,1,D,1001223,4.5,64,0,0
ChIJBdwbMJSifDURwXDbWECyabc,2019-12-5,1,D,1001223,4.3,172,60,150
ChIJTQ3DgkyjfDUR9ngFIQzVLsw,2019-12-5,1,D,1001225,3.9,28,25,60
ChIJyf49y-WxfDUR5Dtb2jDBKM4,2019-12-5,1,D,1001173,4.0,281,30,90
ChIJuw57peyifDURznfR6Mj2zAw,2019-12-5,1,D,1001227,4.1,242,45,90
ChIJXc9rS-qifDURQpIpDA5VJAU,2019-12-5,1,D,1001227,4.0,1,0,0
ChIJVY6CXumifDURyjnss4owfGI,2019-12-5,1,D,1001227,4.1,17,0,0
ChIJ2fasxfCjfDURJ0FjJTm7hRM,2019-12-5,1,D,1001227,4.3,178,60,150
ChIJSfGrARajfDURoZWhnjBZQfg,2019-12-5,1,D,1001227,4.8,390,60,150
ChIJsbevhOmifDURHdAQsf3-O2Y,2019-12-5,1,D,1001227,4.4,49,0,0
ChIJT4ufVy-jfDURp7uVlPNYDKE,2019-12-5,1,D,1001228,4.4,10,15,15
ChIJ9Vf-RCWjfDURNZUZ3r5wFsQ,2019-12-5,1,D,1001228,4.1,54,0,0
ChIJMcLQwDqjfDURxI7Jgi211H4,2019-12-5,1,D,1001228,4.2,354,60,60
ChIJxc8OXeijfDURNgI1fsOQBv0,2019-12-5,1,D,1001230,3.8,287,30,90
ChIJT6pfYs-YfDURoITLMFrxGcA,2019-12-5,1,D,1001182,4.2,37,45,120
ChIJiVKnKcOYfDURQSEuJEvkSnk,2019-12-5,1,D,1001182,3.9,72,30,60
ChIJ7U-76tqYfDUR63DpSecx6_U,2019-12-5,1,D,1001182,3.8,30,0,0
ChIJ7x3EUcWYfDURmL6A6pEtu5k,2019-12-5,1,D,1001182,4.3,129,0,0
ChIJmxXBlMOYfDURQ4MlHs51Jz8,2019-12-5,1,D,1001182,4.3,165,60,120
ChIJXxhQzcKYfDURY208iFJWPK4,2019-12-5,1,D,1001182,4.5,150,0,0
ChIJVYFelNqYfDURkNyoScOtYRs,2019-12-5,1,D,1001182,4.1,129,30,90
ChIJwUyyb9CYfDURgnX32tMOh-c,2019-12-5,1,D,1001182,4.3,217,20,60
ChIJIcCoANCYfDURvFtGH05S1Ms,2019-12-5,1,D,1001182,4.3,134,30,60
ChIJ29bX8s-YfDURxeVoMSf0eZI,2019-12-5,1,D,1001182,3.9,19,25,25
ChIJV9Lb3sKYfDURjbCnh8qRfqg,2019-12-5,1,D,1001182,4.0,40,25,90
ChIJMeQIFsOYfDUR5sd8qTDum9s,2019-12-5,1,D,1001182,3.9,313,0,0
ChIJx8ILIsOYfDUR8I5fKCkZUOA,2019-12-5,1,D,1001182,4.7,3,0,0
ChIJx-2j5MKYfDURYWWYZAXSDRQ,2019-12-5,1,D,1001182,4.3,3604,30,60
ChIJTxCcl9yYfDUR2JwN0_7-75s,2019-12-5,1,D,1001182,3.9,43,25,90
