상권_구분_코드,상권_코드,상권_코드_명,keyword
A,1000257,용마산로112길,용마산로112길
A,1000258,용마산로118길,용마산로118길
A,1000228,동일로100길,동일로100길
A,1000306,창경궁로43길,창경궁로43길
A,1000460,대흥로28길,대흥로28길
A,1000010,성균관로5길,성균관로5길
A,1000011,숭인동길,숭인동길
A,1000012,옥인길,옥인길
A,1000013,율곡로10길,율곡로10길
A,1000014,율곡로16길,율곡로16길
A,1000015,이화장길,이화장길
A,1000044,퇴계로12길,퇴계로12길
A,1000045,퇴계로18길,퇴계로18길
A,1000046,퇴계로46길,퇴계로46길
A,1000145,뚝섬로24길,뚝섬로24길
A,1000538,오목로3길,오목로3길
A,1000539,오목로5길,오목로5길
A,1000540,은행정로5길,은행정로5길
A,1000532,신목로5길,신목로5길
A,1000760,상도로61길,상도로61길
A,1000761,상도로62길,상도로62길
A,1000411,연서로5길,연서로5길
A,1000412,은평로10길,은평로10길
A,1000413,은평로13길,은평로13길
A,1000759,상도로47길,상도로47길
A,1000359,도봉로109길,도봉로109길
A,1000360,도봉로114길,도봉로114길
A,1000874,서초대로8길,서초대로8길
A,1000875,신반포로45길,신반포로45길
A,1000876,언남길,언남길
A,1000877,주흥15길,주흥15길
A,1000878,주흥길,주흥길
A,1000631,구로동로7길,구로동로7길
A,1000663,독산로64길,독산로64길
A,1000664,독산로70길,독산로70길
A,1000535,신월로20길,신월로20길
A,1000536,오목로23길,오목로23길
A,1000537,오목로30길,오목로30길
A,1000348,한천로130길,한천로130길
A,1000349,한천로132길,한천로132길
A,1000317,노해로33길,노해로33길
A,1000338,솔샘로65길,솔샘로65길
A,1000339,수유로12길,수유로12길
A,1000340,오패산로30길,오패산로30길
A,1000330,삼양로27길,삼양로27길
A,1000331,삼양로41길,삼양로41길
A,1000756,사당로8길,사당로8길
A,1000636,구로중앙로42길,구로중앙로42길
A,1000637,구로중앙로7길,구로중앙로7길
A,1000638,구로중앙로8길,구로중앙로8길
A,1000639,남부순환로97길,남부순환로97길
A,1000738,대방동2길,대방동2길
A,1000754,사당로2차길,사당로2차길
A,1000755,사당로30길,사당로30길
A,1000632,구로동로8길,구로동로8길
A,1000733,국사봉1길,국사봉1길
A,1000342,오패산로67길,오패산로67길
A,1000343,인수봉로56길,인수봉로56길
A,1000344,인수봉로72길,인수봉로72길
A,1000345,인수봉로79길,인수봉로79길
A,1000350,한천로139가길,한천로139가길
A,1000351,한천로140길,한천로140길
A,1000318,덕릉로40길,덕릉로40길
A,1000319,덕릉로41길,덕릉로41길
A,1000320,도봉로13길,도봉로13길
A,1000307,한천로101가길,한천로101가길
A,1000308,한천로76길,한천로76길
A,1000332,삼양로54길,삼양로54길
A,1000333,삼양로77길,삼양로77길
A,1000398,역말로9길,역말로9길
A,1000387,한글비석로24길,한글비석로24길
A,1000388,한글비석로44길,한글비석로44길
A,1000281,삼양로8길,삼양로8길
A,1000282,성북로8길,성북로8길
A,1000189,서울시립대로4길,서울시립대로4길
A,1000190,약령시로17길,약령시로17길
A,1000191,왕산로32길,왕산로32길
A,1000192,왕산로33길,왕산로33길
A,1000193,왕산로43길,왕산로43길
A,1000346,한천로109길,한천로109길
A,1000335,솔매로41길,솔매로41길
A,1000336,솔매로45길,솔매로45길
A,1000337,솔매로50길,솔매로50길
A,1000303,종암로24가길,종암로24가길
A,1000304,종암로5길,종암로5길
A,1000305,지봉로20길,지봉로20길
A,1000309,화랑로13길,화랑로13길
A,1000311,화랑로19길,화랑로19길
A,1000312,화랑로1길,화랑로1길
A,1000041,장충단로8길,장충단로8길
A,1000042,청구로17길,청구로17길
A,1000043,청구로1길,청구로1길
A,1000310,화랑로14길,화랑로14길
A,1000389,가좌로7길,가좌로7길
A,1000390,갈현로1길,갈현로1길
A,1000352,노해로60길,노해로60길
A,1000353,노해로63다길,노해로63다길
A,1000529,목동중앙서로7길,목동중앙서로7길
A,1000530,목동중앙서로8가길,목동중앙서로8가길
A,1000531,신목로2길,신목로2길
A,1000118,왕십리로26길,왕십리로26길
A,1000095,마조로16길,마조로16길
A,1000096,마조로1길,마조로1길
A,1000097,매봉길,매봉길
A,1000098,무수막길,무수막길
A,1000099,무학로6길,무학로6길
A,1000100,무학봉28길,무학봉28길
A,1000101,무학봉길,무학봉길
A,1000678,시흥대로62가길,시흥대로62가길
A,1000679,시흥대로63길,시흥대로63길
A,1000714,신길로17길,신길로17길
A,1000715,신길로39길,신길로39길
A,1000716,신길로42가길,신길로42가길
A,1000717,신길로42길,신길로42길
A,1000808,법원단지9길,법원단지9길
A,1000812,봉천로33길,봉천로33길
A,1000813,서림7길,서림7길
A,1000814,승방길,승방길
A,1000928,선릉로18길,선릉로18길
A,1000929,압구정로2길,압구정로2길
A,1000930,언주로81길,언주로81길
A,1000499,월드컵로16길,월드컵로16길
A,1000867,사평대로26길,사평대로26길
A,1000868,사평대로57길,사평대로57길
A,1000869,서초대로15길,서초대로15길
A,1000552,가로공원로76가길,가로공원로76가길
A,1000553,가로공원로80길,가로공원로80길
A,1000624,고척로52길,고척로52길
A,1000006,북촌로11길,북촌로11길
A,1000007,북촌로5길,북촌로5길
A,1000137,능동로13길,능동로13길
A,1000138,능동로19길,능동로19길
A,1000139,능동로34길,능동로34길
A,1000231,동일로123길,동일로123길
A,1000831,조원중앙로2길,조원중앙로2길
A,1000832,중앙길,중앙길
A,1000833,청룡8길,청룡8길
A,1000809,법원단지길,법원단지길
A,1000810,복은길,복은길
A,1000855,동광로39길,동광로39길
A,1000856,동산로10길,동산로10길
A,1000857,동산로19길,동산로19길
A,1000858,방배천로4안길,방배천로4안길
A,1000859,마방로2길,마방로2길
A,1000549,지양로7길,지양로7길
A,1000500,월드컵로19길,월드컵로19길
A,1000576,공항대로55길,공항대로55길
A,1000577,공항대로59길,공항대로59길
A,1000674,시흥대로150길,시흥대로150길
A,1000675,시흥대로153길,시흥대로153길
A,1000676,시흥대로22길,시흥대로22길
A,1000677,시흥대로36길,시흥대로36길
A,1000821,신림로65길,신림로65길
A,1000008,북촌로5나길,북촌로5나길
A,1000009,삼청로5길,삼청로5길
A,1000762,서달로10길,서달로10길
A,1000763,서달로14길,서달로14길
A,1000764,서달로15길,서달로15길
A,1000765,서달로8가길,서달로8가길
A,1000326,도봉로99길,도봉로99길
A,1000327,삼각산로28길,삼각산로28길
A,1000037,동호로20길,동호로20길
A,1000038,동호로8길,동호로8길
A,1000109,성수이로7길,성수이로7길
A,1000110,성수일로6길,성수일로6길
A,1000175,답십리로64길,답십리로64길
A,1000088,고산자로6길,고산자로6길
A,1000089,금호산2길,금호산2길
A,1000724,여의대방로43나길,여의대방로43나길
A,1000815,신림동길,신림동길
A,1000986,양재대로101길,양재대로101길
A,1000987,양재대로116길,양재대로116길
A,1000988,양재대로124길,양재대로124길
A,1000989,양재대로133길,양재대로133길
A,1000937,학동로56길,학동로56길
A,1000991,양재대로95길,양재대로95길
A,1000992,양재대로96길,양재대로96길
A,1000993,올림픽로48길,올림픽로48길
