"골목상권 번호","골목상권 명","엑스좌표 값","와이좌표 값","시군구 코드","행정동 코드","기준 년월 코드"
"12354","양천로_B","183451","452591","11500","11500630","201506"
"12355","면목로_K","207519","452985","11260","11260540","201506"
"12357","숭인동길","201975","452969","11110","11110710","201506"
"12358","월드컵북로44길_A","190979","452919","11440","11440740","201506"
"12361","금낭화로_D","183197","452705","11500","11500630","201506"
"12363","사가정로_D","205246","453186","11230","11230570","201506"
"12268","아리랑로_B","201468","455096","11290","11290575","201506"
"12572","양화로_A","192526","450260","11440","11440660","201506"
"12576","강서로_E","185617","450406","11500","11500615","201506"
"12577","서강로9길","194051","450515","11440","11440660","201506"
"12578","와우산로_C","193635","450505","11440","11440660","201506"
"12579","잔다리로","192630","450401","11440","11440660","201506"
"12580","후암로_C","197792","450412","11170","11170530","201506"
"12581","공항대로_G","187892","450379","11500","11500520","201506"
"12582","금호산길","201726","450520","11200","11200615","201506"
"12583","자양로43길","207984","450458","11215","11215770","201506"
"12584","고덕로_B","212095","450694","11740","11740590","201506"
"12585","무수막길","201799","450440","11200","11200615","201506"
"12854","올림픽로45길","210212","447632","11710","11710520","201506"
"12856","신정중앙로_A","187853","447551","11470","11470650","201506"
"12857","성안로3길","211056","447583","11740","11740640","201506"
